state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,lastUpdateEt,checkTimeEt,death,hospitalized,total,totalTestResults,posNeg,fips,dateModified,dateChecked
Alask,396,34255,null,13,null,null,null,null,null,344,"""5/17 00:00""","""5/17 17:14""",10,null,34651,34651,34651,"""02""","""2020-05-17T04:00:00Z""","""2020-05-17T21:14:00Z"""
Alabama,11771,144579,null,null,1392,null,504,null,296,null,"""5/16 00:00""","""5/17 16:42""",488,1392,156350,156350,156350,"""01""","""2020-05-16T04:00:00Z""","""2020-05-17T20:42:00Z"""
Arkansas,4759,80426,null,65,520,null,null,9,101,3590,"""5/17 00:00""","""5/17 16:44""",98,520,85185,85185,85185,"""05""","""2020-05-17T04:00:00Z""","""2020-05-17T20:44:00Z"""
Arizona,13937,137824,null,796,1699,337,null,201,null,3450,"""5/17 00:00""","""5/17 17:18""",680,1699,151761,151761,151761,"""04""","""2020-05-17T04:00:00Z""","""2020-05-17T21:18:00Z"""
california,78839,1156404,null,4291,null,1293,null,null,null,null,"""5/17 00:00""","""5/17 16:45""",3261,null,1235243,1235243,1235243,"""06""","""2020-05-17T04:00:00Z""","""2020-05-17T20:45:00Z"""
colorado,21633,103915,null,650,3866,null,null,null,null,3346,"""5/17 00:00""","""5/17 16:04""",1192,3866,125548,125548,125548,"""08""","""2020-05-17T04:00:00Z""","""2020-05-17T20:04:00Z"""
Connecticut,37419,133188,null,937,10946,null,null,null,null,6264,"""5/16 20:30""","""5/17 17:08""",3408,10946,170607,170607,170607,"""09""","""2020-05-17T00:30:00Z""","""2020-05-17T21:08:00Z"""
Washington.D.C,7123,29403,null,369,null,null,null,74,null,1023,"""5/16 00:00""","""5/17 17:10""",383,null,36526,36526,36526,"""11""","""2020-05-16T04:00:00Z""","""2020-05-17T21:10:00Z"""
Delaware,7670,33195,null,229,null,null,null,null,null,3478,"""5/17 11:57""","""5/17 17:12""",290,null,40865,40865,40865,"""10""","""2020-05-17T15:57:00Z""","""2020-05-17T21:12:00Z"""
Florida,45588,606204,1479,472,8478,232,null,null,null,null,"""5/17 10:08""","""5/17 17:02""",2049,8478,653271,651792,651792,"""12""","""2020-05-17T14:08:00Z""","""2020-05-17T21:02:00Z"""
Georgia,37701,313474,null,1010,6790,null,1557,null,null,null,"""5/17 13:00""","""5/17 15:23""",1606,6790,351175,351175,351175,"""13""","""2020-05-17T17:00:00Z""","""2020-05-17T19:23:00Z"""
Hawaii,639,41035,null,null,82,null,null,null,null,572,"""5/16 18:00""","""5/17 16:59""",17,82,41674,41674,41674,"""15""","""2020-05-16T22:00:00Z""","""2020-05-17T20:59:00Z"""
Iowa,14651,85590,null,376,null,124,null,85,null,7154,"""5/16 13:00""","""5/17 15:42""",351,null,100241,100241,100241,"""19""","""2020-05-16T17:00:00Z""","""2020-05-17T19:42:00Z"""
Idaho,2419,34253,null,null,213,null,89,null,null,1612,"""5/16 19:00""","""5/17 15:46""",73,213,36672,36672,36672,"""16""","""2020-05-16T23:00:00Z""","""2020-05-17T19:46:00Z"""
Illinois,94191,487753,null,4190,null,1144,null,735,null,null,"""5/17 00:00""","""5/17 16:19""",4177,null,581944,581944,581944,"""17""","""2020-05-17T04:00:00Z""","""2020-05-17T20:19:00Z"""
